CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,ProductsPerTenure,EngagementScore,WealthScore,RelationshipStrength,AgeGroup,WealthSegment,HighValueDisengaged,Geography_enc,Gender_enc
548,France,Female,32,2,172448.77,1,1,0,188083.77,1,0.9168672721347932,0.3333333333333333,0.3,2.1539256120822694,0.18,26-35,Premium,1,0,0
725,France,Male,41,7,113980.21,1,1,1,116704.25,0,0.9766502363861095,0.125,1.0,1.8992092767520377,0.6100000000000001,36-45,Premium,0,0,1
717,France,Male,53,6,0.0,2,0,1,97614.87,0,0.0,0.2857142857142857,0.7,1.1698860267964992,0.5599999999999999,46-55,Medium,0,0,1
594,France,Male,38,4,0.0,2,0,0,186884.04,0,0.0,0.4,0.0,1.3305559321023168,0.21999999999999997,36-45,Medium,0,0,1
678,Germany,Female,25,10,76968.12,2,0,1,131501.72,0,0.5852967908192317,0.18181818181818182,0.7,1.6631550916419306,0.6799999999999999,18-25,High,0,2,0
545,France,Male,38,1,88293.13,2,1,1,24302.95,0,3.6328716114047306,1.0,1.0,0.8595708573559693,0.53,36-45,Low,0,0,1
636,France,Female,48,1,170833.46,1,1,0,110510.28,1,1.5458463606611017,0.5,0.3,1.960440526487683,0.15,46-55,Premium,1,0,0
603,Germany,Male,44,6,108122.39,2,1,0,108488.33,1,0.9966177319004551,0.2857142857142857,0.3,1.5339746835825596,0.4,36-45,High,1,2,1
435,France,Male,36,4,0.0,1,1,1,197015.2,0,0.0,0.2,1.0,1.001802976976827,0.52,36-45,Low,0,0,1
535,France,Female,40,8,0.0,1,1,1,27689.77,0,0.0,0.1111111111111111,1.0,0.37813115822261145,0.64,36-45,Low,0,0,0
629,Germany,Female,45,7,129818.39,3,1,0,9217.55,1,14.082300361770562,0.375,0.3,1.2069429889704009,0.53,36-45,Medium,1,2,0
722,France,Female,35,2,163943.89,2,1,1,15068.18,0,10.879416796401664,0.6666666666666666,1.0,1.6427486774984645,0.56,26-35,High,0,0,0
561,France,Male,28,7,0.0,2,1,0,7797.01,0,0.0,0.25,0.3,0.3389558050452431,0.43,26-35,Low,0,0,1
645,France,Female,38,5,101430.3,2,0,1,4400.32,0,23.04542728090664,0.3333333333333333,0.7,1.0680208033518201,0.5299999999999999,36-45,Low,0,0,0
501,France,Female,39,9,117301.66,1,0,0,182025.95,0,0.6444191917735258,0.1,0.0,1.714073035965729,0.27,36-45,High,1,0,0
502,Germany,Female,32,1,173340.83,1,0,1,122763.95,0,1.4119732871638035,0.5,0.7,1.7157955986173277,0.30999999999999994,26-35,High,0,2,0
652,Spain,Female,42,4,0.0,2,1,1,38152.01,0,0.0,0.4,1.0,0.7113525148037083,0.62,36-45,Low,0,1,0
574,France,Female,33,3,134348.57,1,1,0,63163.99,0,2.1269467469242063,0.25,0.3,1.3746427063698832,0.21000000000000002,26-35,Medium,1,0,0
518,France,Female,45,9,105525.65,2,1,1,73418.29,0,1.4373014231001144,0.2,1.0,1.1379401609452842,0.77,36-45,Medium,0,0,0
749,France,Female,60,6,0.0,1,1,0,17978.68,1,0.0,0.14285714285714285,0.3,0.8406037966722205,0.30000000000000004,56+,Low,0,0,0
679,France,Female,43,4,0.0,3,1,0,115136.51,1,0.0,0.6,0.3,1.168269684121757,0.43999999999999995,36-45,Medium,0,0,0
565,France,Male,36,6,106192.1,1,1,0,149575.59,0,0.7099513366363013,0.14285714285714285,0.3,1.6420723737135658,0.30000000000000004,36-45,High,1,0,1
643,France,Female,45,4,45144.43,1,1,0,60917.24,1,0.7410658942215008,0.2,0.3,1.0485900090105835,0.24,36-45,Low,0,0,0
515,France,Male,65,7,92113.61,1,1,1,142548.33,0,0.6461876039683947,0.125,1.0,1.4109394042220713,0.6100000000000001,56+,Medium,0,0,1
521,France,Male,25,7,0.0,2,1,1,157878.67,0,0.0,0.25,1.0,1.0080993280973451,0.71,18-25,Low,0,0,1
739,Spain,Male,38,0,128366.44,1,1,0,12796.43,0,10.030642089857103,1.0,0.3,1.480531834220042,0.12,36-45,High,1,1,1
585,France,Male,42,2,0.0,2,1,1,18657.77,0,0.0,0.6666666666666666,1.0,0.4517200374656774,0.56,36-45,Low,0,0,1
733,Germany,Male,72,3,106545.53,1,1,1,134589.58,0,0.7916269474431272,0.25,1.0,1.9695159175215624,0.49000000000000005,56+,Premium,0,2,1
542,France,Female,43,8,145618.37,1,0,1,10350.74,0,14.067042835310778,0.1111111111111111,0.7,1.089544666318942,0.52,36-45,Medium,0,0,0
788,Spain,Male,37,8,141541.25,1,0,0,66013.27,0,2.144100813354446,0.1111111111111111,0.0,1.9398017412465522,0.24,36-45,Premium,1,1,1
435,Germany,Male,32,2,57017.06,2,1,1,5907.11,0,9.65064292980327,0.6666666666666666,1.0,0.3344853065610451,0.56,26-35,Low,0,2,1
577,France,Male,42,9,0.0,1,1,0,74077.91,0,0.0,0.1,0.3,0.7150101299334977,0.39,36-45,Low,0,0,1
703,France,Female,51,3,0.0,3,1,1,77294.56,1,0.0,0.75,1.0,1.0328380386243423,0.69,46-55,Low,0,0,0
728,Germany,Female,35,8,125884.95,2,1,0,54359.02,1,2.3157634967757557,0.2222222222222222,0.3,1.6526812234746533,0.45999999999999996,26-35,High,1,2,0
728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0,0.39599764113494795,0.16666666666666666,1.0,1.8268297162554927,0.55,26-35,Premium,0,2,1
718,France,Male,35,8,0.0,2,1,0,94820.85,0,0.0,0.2222222222222222,0.3,1.1580396513785205,0.45999999999999996,26-35,Medium,0,0,1
621,France,Female,40,6,0.0,1,1,0,155155.25,0,0.0,0.14285714285714285,0.3,1.233454845498104,0.30000000000000004,36-45,Medium,0,0,0
523,France,Female,40,2,102967.41,1,1,0,128702.1,1,0.8000383052156474,0.3333333333333333,0.3,1.4178796287199327,0.18,36-45,Medium,1,0,0
657,Germany,Male,25,2,171770.55,1,1,0,22745.5,0,7.551515617787351,0.3333333333333333,0.3,1.5684570516031042,0.18,18-25,High,1,2,1
727,Germany,Male,40,1,93051.64,2,1,0,71865.31,1,1.2947880585492701,1.0,0.3,1.5629498407391722,0.24999999999999997,36-45,High,0,2,1
643,France,Male,36,7,161064.64,2,0,1,84294.82,0,1.9107073162109343,0.25,0.7,1.7910596779627024,0.59,36-45,High,0,0,1
645,France,Female,48,7,90612.34,1,1,1,149139.13,0,0.6075651134272178,0.125,1.0,1.747459101528235,0.6100000000000001,46-55,High,0,0,0
568,France,Male,28,5,145105.64,2,1,0,185489.11,0,0.7822823545686615,0.3333333333333333,0.3,2.041518366259646,0.37,26-35,Premium,1,0,1
599,France,Male,58,4,0.0,1,0,0,176407.15,1,0.0,0.2,0.0,1.2891259457635005,0.12,56+,Medium,0,0,1
672,France,Female,45,9,0.0,1,1,1,92027.69,1,0.0,0.1,1.0,1.033757467254254,0.67,36-45,Low,0,0,0
685,France,Male,33,6,174912.72,1,1,1,43932.54,0,3.9813026676202283,0.14285714285714285,1.0,1.7603111363552826,0.5800000000000001,26-35,High,0,0,1
516,France,Female,46,1,104947.72,1,1,0,115789.25,1,0.9063605959914587,0.5,0.3,1.3459761735661862,0.15,46-55,Medium,1,0,0
685,Spain,Male,31,10,135213.71,1,1,1,125777.28,0,1.075016370075978,0.09090909090909091,1.0,1.9639311918344626,0.7,26-35,Premium,0,1,1
806,Spain,Male,25,7,0.0,2,1,0,18461.9,0,0.0,0.25,0.3,0.9794299902965815,0.43,18-25,Low,0,1,1
604,France,Male,36,6,116229.85,2,1,1,79633.38,0,1.459543604156898,0.2857142857142857,1.0,1.4329141323643964,0.68,36-45,Medium,0,0,1
648,Spain,Female,53,6,111201.41,1,1,1,121542.29,0,0.9149119626431045,0.14285714285714285,1.0,1.7247117276598238,0.5800000000000001,46-55,High,0,1,0
545,Spain,Female,32,4,0.0,1,1,0,94739.2,0,0.0,0.2,0.3,0.7437479533786133,0.24,26-35,Low,0,1,0
756,Germany,Male,27,1,131899.0,1,1,0,93302.29,0,1.4136586180401571,0.5,0.3,1.9504664332859547,0.15,26-35,Premium,1,2,1
569,France,Male,35,10,124525.52,1,1,1,193793.78,0,0.6425638502750177,0.09090909090909091,1.0,1.97556762589803,0.7,26-35,Premium,0,0,1
596,France,Male,47,6,0.0,1,1,0,74835.65,0,0.0,0.14285714285714285,0.3,0.7643262252798965,0.30000000000000004,46-55,Low,0,0,1
475,France,Male,39,6,0.0,1,1,1,56999.9,1,0.0,0.14285714285714285,1.0,0.3839590439811533,0.5800000000000001,36-45,Low,0,0,1
646,France,Female,45,3,47134.75,1,1,1,57236.44,0,0.823495075950287,0.25,1.0,1.04771165394905,0.49000000000000005,36-45,Low,0,0,0
784,Spain,Male,35,3,0.0,2,0,0,81483.64,0,0.0,0.5,0.0,1.2479660853289651,0.19,26-35,Medium,0,1,1
552,Spain,Male,45,9,0.0,2,1,0,26752.56,0,0.0,0.2,0.3,0.4140248603623281,0.49,36-45,Low,0,1,1
729,France,Male,44,5,0.0,2,0,1,9200.54,0,0.0,0.3333333333333333,0.7,0.7480222674405328,0.5299999999999999,36-45,Low,0,0,1
609,Spain,Male,61,1,0.0,1,1,0,22447.85,1,0.0,0.5,0.3,0.5284510875421274,0.15,56+,Low,0,1,1
555,France,Male,51,5,0.0,3,1,0,189122.89,1,0.0,0.5,0.3,1.248663992004532,0.47,46-55,Medium,0,0,1
572,Germany,Female,21,1,138657.08,1,1,1,16161.82,0,8.578767814032451,0.5,1.0,1.1534963510690923,0.43000000000000005,18-25,Medium,0,2,0
785,France,Female,34,9,70302.48,1,1,1,68600.36,0,1.0247971760326617,0.1,1.0,1.562738808826501,0.67,26-35,High,0,0,0
714,Germany,Female,36,1,101609.01,2,1,1,1842.8253000000004,0,55.10772088874145,1.0,1.0,1.2210201919088464,0.53,36-45,Medium,0,2,0
738,Spain,Male,35,3,0.0,1,1,1,15650.73,0,0.0,0.25,1.0,0.8024244457252867,0.49000000000000005,26-35,Low,0,1,1
639,Germany,Male,38,5,130170.82,1,1,1,149599.62,0,0.8701221960176369,0.16666666666666666,1.0,1.9481683696217345,0.55,36-45,Premium,0,2,1
520,Germany,Male,61,8,133802.29,2,1,1,90304.01,0,1.4816707290104947,0.2222222222222222,1.0,1.3808279776851031,0.74,56+,Medium,0,2,1
764,France,Female,24,7,106234.02,1,0,0,115676.38,0,0.9183646794213355,0.125,0.0,1.9456191894614157,0.21000000000000002,18-25,Premium,1,0,0
661,Spain,Male,39,6,132628.98,1,0,0,38812.67,0,3.41706878014885,0.14285714285714285,0.0,1.4494322179851125,0.18000000000000002,36-45,High,1,1,1
564,Germany,Male,41,9,103522.75,2,1,1,34338.21,0,3.014709715220589,0.2,1.0,1.038060275980273,0.77,36-45,Low,0,2,1
708,Germany,Female,42,8,185967.98540000003,2,1,0,1842.8253000000004,0,100.8598728957673,0.2222222222222222,0.3,1.6602870813397128,0.45999999999999996,36-45,High,1,2,0
512,Spain,Male,36,1,0.0,1,0,1,135482.26,1,0.0,0.5,0.7,0.8724329640543212,0.30999999999999994,36-45,Low,0,1,1
592,Spain,Male,37,9,0.0,3,1,1,10656.89,0,0.0,0.3,1.0,0.42769283623384047,0.87,36-45,Low,0,1,1
619,France,Female,38,3,0.0,2,0,1,116467.35,0,0.0,0.5,0.7,1.0315111625722029,0.47,36-45,Low,0,0,0
775,France,Male,52,8,109922.61,1,1,1,96823.32,1,1.1352789257905451,0.1111111111111111,1.0,1.8956916696157124,0.64,46-55,Premium,0,0,1
850,Germany,Female,44,5,128605.32,1,0,1,171096.2,0,0.7516506406884508,0.16666666666666666,0.7,2.5540845460075925,0.42999999999999994,36-45,Premium,0,2,0
577,France,Female,37,4,0.0,1,1,1,79881.39,0,0.0,0.2,1.0,0.7445854823846996,0.52,36-45,Low,0,0,0
724,France,Female,37,10,68598.56,1,1,0,157862.82,0,0.4345426330111611,0.09090909090909091,0.3,1.862537440610241,0.42,36-45,Premium,0,0,0
710,Spain,Male,35,1,106518.52,1,1,1,127951.81,0,0.8324828505134042,0.5,1.0,1.8805197420862187,0.43000000000000005,26-35,Premium,0,1,1
696,France,Female,31,8,0.0,2,0,0,191074.11,0,0.0,0.2222222222222222,0.0,1.5959282584363037,0.33999999999999997,26-35,High,0,0,0
432,France,Female,46,6,0.0,1,1,0,157333.69,1,0.0,0.14285714285714285,0.3,0.7924033728805224,0.30000000000000004,46-55,Low,0,0,0
675,Germany,Female,29,8,121326.42,1,1,0,133457.52,0,0.9090946010790469,0.1111111111111111,0.3,1.9044716301620486,0.36,26-35,Premium,1,2,0
745,France,Male,36,8,67226.37,1,1,0,130789.6,0,0.514000012233295,0.1111111111111111,0.3,1.76742909262708,0.36,36-45,High,0,0,1
697,Spain,Female,25,5,82931.85,2,1,1,128373.88,0,0.646013067353987,0.3333333333333333,1.0,1.7247383075967564,0.65,18-25,High,0,1,0
599,Spain,Female,39,4,0.0,1,1,0,194273.2,1,0.0,0.2,0.3,1.3801738559244379,0.24,36-45,Medium,0,1,0
715,France,Female,38,5,118590.41,1,1,1,5684.17,1,20.85960666083864,0.16666666666666666,1.0,1.3343021371714459,0.55,36-45,Medium,0,0,0
659,France,Male,67,4,145981.87,1,1,1,131043.2,0,1.1139895546693406,0.2,1.0,1.9864694055208973,0.52,56+,Premium,0,0,1
684,France,Female,48,3,73309.38,1,0,0,21228.34,1,3.4532105096060453,0.25,0.0,1.0958664325857725,0.09000000000000001,46-55,Medium,0,0,0
635,France,Female,48,8,130796.33,2,1,1,43250.3,0,3.0241017033014037,0.2222222222222222,1.0,1.3999913961077257,0.74,46-55,Medium,0,0,0
789,Germany,Male,33,8,151607.56,1,1,0,4389.4,0,34.53160532069971,0.1111111111111111,0.3,1.6822794174502729,0.36,26-35,High,1,2,1
571,Germany,Female,66,9,111577.01,1,0,1,189271.9,0,0.589503357321624,0.1,0.7,1.8876805471917166,0.55,56+,Premium,0,2,0
694,Spain,Male,39,0,107042.74,1,1,1,102284.2,0,1.0465124964315464,1.0,1.0,1.7142553423606697,0.4,36-45,High,0,1,1
665,Spain,Female,42,2,156371.61,2,0,1,156774.94,1,0.9974209690594105,0.6666666666666666,0.7,2.1878244814420595,0.43999999999999995,36-45,Premium,0,1,0
706,France,Female,44,4,129605.99,1,0,0,69865.49,0,1.855052257527178,0.2,0.0,1.6990818376578445,0.12,36-45,High,1,0,0
807,Spain,Female,43,0,0.0,2,0,1,85523.24,0,0.0,2.0,0.7,1.3235763800135898,0.37999999999999995,36-45,Medium,0,1,0
771,Spain,Female,67,8,0.0,2,1,1,51219.8,0,0.0,0.2222222222222222,1.0,1.0626368105987218,0.74,56+,Low,0,1,0
531,Spain,Male,27,8,132576.25,1,0,0,7222.92,0,18.352397313370027,0.1111111111111111,0.0,0.9771580692754893,0.24,26-35,Low,1,1,1
629,France,Female,37,6,129101.3,1,1,1,23971.33,0,5.385429785089726,0.14285714285714285,1.0,1.278274346059278,0.5800000000000001,36-45,Medium,0,0,0
850,Germany,Female,31,1,108822.4,1,1,1,132173.31,0,0.8233248957380598,0.5,1.0,2.249349914995986,0.43000000000000005,26-35,Premium,0,2,0
685,Spain,Male,35,4,137948.51,1,1,0,113639.64,0,1.2139012064697983,0.2,0.3,1.916781823802297,0.24,26-35,Premium,1,1,1
642,Spain,Male,32,7,100433.8,1,1,1,39768.59,0,2.525391888626461,0.125,1.0,1.235727012009733,0.6100000000000001,26-35,Medium,0,1,1
529,Spain,Male,63,4,96134.11,3,1,0,108732.96,1,0.8841222190381,0.6,0.3,1.2937236457786983,0.43999999999999995,56+,Medium,0,1,1
683,Germany,Female,43,4,115888.04,1,1,1,117349.19,1,0.9875402843404002,0.2,1.0,1.812276429355759,0.52,36-45,Premium,0,2,0
663,France,Female,42,5,124626.07,1,1,1,78004.5,0,1.5976574728705029,0.16666666666666666,1.0,1.6109101943593929,0.55,36-45,High,0,0,0
563,France,Female,34,6,139810.34,1,1,1,152417.79,0,0.9172775876255151,0.14285714285714285,1.0,1.832546277666136,0.5800000000000001,26-35,Premium,0,0,0
637,Spain,Female,34,9,0.0,2,0,0,26057.08,0,0.0,0.2,0.0,0.6138298785066492,0.37,26-35,Low,0,1,0
544,France,Male,37,3,84496.71,1,0,0,79972.09,0,1.0565642768086116,0.25,0.0,1.1204619264516655,0.09000000000000001,36-45,Medium,0,0,1
649,Germany,Male,70,9,116854.71,2,0,1,107125.79,0,1.0908075374983233,0.2,0.7,1.6840348736288564,0.6499999999999999,56+,High,0,2,1
638,France,Female,48,10,138333.03,1,1,1,47679.14,0,2.901271472776716,0.09090909090909091,1.0,1.4702652907870877,0.7,46-55,High,0,0,0
723,France,Male,25,3,0.0,2,1,1,134509.47,0,0.0,0.5,1.0,1.3722601780326493,0.59,18-25,Medium,0,0,1
635,Germany,Male,43,5,78992.75,2,0,0,153265.31,0,0.5153953925034145,0.3333333333333333,0.0,1.6820815832634672,0.25,36-45,High,0,2,1
750,Spain,Female,38,7,97257.41,2,0,1,179883.04,0,0.5406672543044952,0.25,0.7,2.191062907553576,0.59,36-45,Premium,0,1,0
730,France,Male,34,5,122453.37,2,1,0,138882.98,0,0.8816954266431591,0.3333333333333333,0.3,2.06975940076487,0.37,26-35,Premium,1,0,1
750,Spain,Female,36,8,112940.07,1,0,1,9855.81,0,11.458075178480666,0.1111111111111111,0.7,1.4089100586069878,0.52,36-45,Medium,0,1,0
586,France,Female,43,8,132558.26,1,1,0,67046.83,1,1.97707010055359,0.1111111111111111,0.3,1.4135113609246237,0.36,36-45,Medium,1,0,0
520,France,Female,38,4,0.0,2,1,0,56388.63,0,0.0,0.4,0.3,0.4884994282559467,0.33999999999999997,36-45,Low,0,0,0
652,France,Female,48,8,133297.24,1,1,0,77764.37,0,1.7140951042861365,0.1111111111111111,0.3,1.629997887639576,0.36,46-55,High,1,0,0
550,France,Female,46,7,0.0,2,1,0,130590.35,0,0.0,0.25,0.3,0.9384121917762279,0.43,46-55,Low,0,0,0
594,France,Male,27,0,185967.98540000003,1,0,0,151912.49,0,1.2241703182515262,1.0,0.0,2.1523359818285446,0.0,26-35,Premium,1,0,1
749,Germany,Female,44,0,71497.79,2,0,0,151083.8,0,0.4732295373194391,2.0,0.0,1.9033891526232585,0.09999999999999999,36-45,Premium,0,2,0
668,France,Male,32,7,0.0,2,1,1,1842.8253000000004,0,0.0,0.25,1.0,0.5645933014354065,0.71,26-35,Low,0,0,1
614,Germany,Female,35,6,128100.28,1,0,0,69454.24,1,1.8443573155891477,0.14285714285714285,0.0,1.468793747231751,0.18000000000000002,26-35,High,1,2,0
773,France,Male,25,1,124532.78,2,0,1,11723.57,0,10.621522153904152,1.0,0.7,1.5357894778017116,0.4099999999999999,18-25,High,0,0,1
551,Germany,Male,31,9,82293.82,2,1,1,91565.25,0,0.8987352872919881,0.2,1.0,1.1844431825966186,0.77,26-35,Medium,0,2,1
566,France,Male,36,1,142120.91,1,1,0,79616.37,0,1.785049041434049,0.5,0.3,1.4811415667170822,0.15,36-45,High,1,0,1
569,Spain,Male,34,0,151839.26,1,1,0,102299.81,1,1.4842429888873805,1.0,0.3,1.6561747974360996,0.12,26-35,High,1,1,1
659,Spain,Male,31,7,149620.88,2,1,1,104533.51,0,1.4313060825558948,0.25,1.0,1.8709402250022025,0.71,26-35,Premium,0,1,1
722,France,Female,49,3,168197.66,1,1,0,140765.57,1,1.19486935001684,0.25,0.3,2.306193970247482,0.21000000000000002,46-55,Premium,1,0,0
655,France,Male,37,5,93147.0,2,1,0,66214.13,0,1.4067328720792363,0.3333333333333333,0.3,1.3624146031685265,0.37,36-45,Medium,0,0,1
615,France,Female,35,2,97440.02,2,1,1,139816.1,0,0.6969106067855791,0.6666666666666666,1.0,1.6648915673491744,0.56,26-35,High,0,0,0
752,Germany,Female,42,3,65046.08,2,0,1,140139.28,0,0.46414977906423477,0.5,0.7,1.8200987846238577,0.47,36-45,Premium,0,2,0
661,Spain,Female,28,7,95357.49,1,0,0,102297.15,0,0.9321526342362986,0.125,0.0,1.5725392290245352,0.21000000000000002,26-35,High,0,1,0
838,Spain,Male,43,9,123105.88,2,1,0,145765.83,0,0.8445397351372738,0.2,0.3,2.3667173028899633,0.49,36-45,Premium,1,1,1
610,Spain,Male,29,9,0.0,3,0,1,83912.24,0,0.0,0.3,0.7,0.8440746308115293,0.75,26-35,Low,0,1,1
811,Spain,Male,44,3,0.0,2,0,1,78439.73,0,0.0,0.5,0.7,1.2970471921708282,0.47,36-45,Medium,0,1,1
587,Spain,Male,62,7,121286.27,1,0,1,6776.92,0,17.89432008639819,0.125,0.7,1.0481472156746756,0.49,56+,Low,0,1,1
811,Germany,Female,28,4,167738.82,2,1,1,9903.42,0,16.93575393612145,0.4,1.0,1.8497533543588098,0.62,26-35,Premium,0,2,0
759,France,Female,38,1,104091.29,1,0,0,91561.91,0,1.136828110858425,0.5,0.0,1.799244690424738,0.03,36-45,High,1,0,0
648,Germany,Female,42,8,121980.56,2,1,0,4027.02,0,30.28300753223668,0.2222222222222222,0.3,1.183799736385938,0.45999999999999996,36-45,Medium,1,2,0
788,France,Female,43,10,0.0,2,1,1,116111.51,0,0.0,0.18181818181818182,1.0,1.4340039718495192,0.8,36-45,Medium,0,0,0
725,Germany,Male,39,1,50880.98,2,1,1,184023.54,0,0.27649018984098533,1.0,1.0,1.902976298405411,0.53,36-45,Premium,0,2,1
646,France,Female,42,3,175159.9,2,0,0,67124.48,1,2.6094398133167913,0.5,0.0,1.7865282510809921,0.19,36-45,High,1,0,0
601,Germany,Female,26,7,105514.69,2,1,0,50070.59,0,2.10727660136217,0.25,0.3,1.2174626478219337,0.43,26-35,Medium,1,2,0
521,Germany,Male,52,5,116497.31,3,0,0,53793.1,1,2.165615002388738,0.5,0.0,1.1041020328801296,0.35,46-55,Medium,1,2,1
561,Spain,Female,33,6,0.0,2,1,0,45261.47,0,0.0,0.2857142857142857,0.3,0.5298799762139138,0.4,26-35,Low,0,1,0
564,France,Male,42,7,99824.45,1,1,1,36721.4,0,2.7183531032830097,0.125,1.0,1.0303185920113695,0.6100000000000001,36-45,Low,0,0,1
444,France,Male,45,6,0.0,1,1,0,130009.85,1,0.0,0.14285714285714285,0.3,0.6818653651712623,0.30000000000000004,36-45,Low,0,0,1
650,Spain,Male,71,0,0.0,1,1,1,175380.77,0,0.0,1.0,1.0,1.4059049379276702,0.4,56+,Medium,0,1,1
724,France,Male,40,10,0.0,1,1,0,127847.25,1,0.0,0.09090909090909091,0.3,1.3407009099448002,0.42,36-45,Medium,0,0,1
719,Spain,Male,35,3,122964.88,1,1,1,138231.7,0,0.8895498677230496,0.25,1.0,2.042875123759991,0.49000000000000005,26-35,Premium,0,1,1
548,France,Female,29,4,0.0,2,0,1,48673.18,0,0.0,0.4,0.7,0.516166053003461,0.49999999999999994,26-35,Low,0,0,0
635,Spain,Male,24,4,0.0,2,1,1,70668.77,0,0.0,0.4,1.0,0.8363926526187007,0.62,18-25,Low,0,1,1
496,Spain,Female,43,3,0.0,2,0,1,198069.7345,0,0.0,0.5,0.7,1.1531100478468899,0.47,36-45,Medium,0,1,0
676,France,Female,37,5,89634.69,1,1,1,169583.18,1,0.5285557296677085,0.16666666666666666,1.0,1.9205504549952392,0.55,36-45,Premium,0,0,0
541,Germany,Male,40,7,95710.11,2,1,0,49063.42,0,1.9507029737638804,0.25,0.3,1.0160674273539287,0.43,36-45,Low,0,2,1
778,Germany,Male,41,7,139706.31,1,1,0,63337.19,0,2.205719961369278,0.125,0.3,1.892373648091625,0.33,36-45,Premium,1,2,1
850,Germany,Female,45,5,103909.86,1,1,0,60083.11,1,1.7294066600969873,0.16666666666666666,0.3,1.8555520379305457,0.27,36-45,Premium,1,2,0
633,France,Male,31,1,0.0,1,1,0,48606.71,0,0.0,0.5,0.3,0.7191765948069194,0.15,26-35,Low,0,0,1
625,France,Male,49,6,173434.9,1,1,0,165580.93,1,1.0474264915259774,0.14285714285714285,0.3,2.2287611794453968,0.30000000000000004,46-55,Premium,1,0,1
485,Spain,Male,32,6,102238.01,2,1,1,194010.12,0,0.5269698458521347,0.2857142857142857,1.0,1.6558672365998446,0.68,26-35,High,0,1,1
547,France,Female,48,1,179380.74,2,0,1,69263.1,0,2.5898082845225736,1.0,0.7,1.5832814496570242,0.4099999999999999,46-55,High,0,0,0
642,France,Male,32,3,0.0,2,1,1,88698.83,0,0.0,0.5,1.0,0.9450227923505772,0.59,26-35,Low,0,0,1
718,France,Female,25,4,108691.95,1,1,0,63030.97,0,1.7243939860994348,0.2,0.3,1.5804998618192987,0.24,18-25,High,1,0,0
582,France,Female,32,4,0.0,2,1,0,59668.81,0,0.0,0.4,0.3,0.6535410469385131,0.33999999999999997,26-35,Low,0,0,0
628,France,Male,33,6,0.0,2,0,0,184230.23,0,0.0,0.2857142857142857,0.0,1.398371455036946,0.28,26-35,Medium,0,0,1
737,Germany,Male,35,0,133377.8,1,0,1,64050.19,0,2.082362560320893,1.0,0.7,1.7638909676079395,0.27999999999999997,26-35,High,0,2,1
828,Spain,Male,34,9,0.0,2,1,1,81853.98,0,0.0,0.2,1.0,1.3551165480867802,0.77,26-35,Medium,0,1,1
609,Spain,Male,53,10,0.0,1,1,1,154642.91,0,0.0,0.09090909090909091,1.0,1.2021357546397633,0.7,46-55,Medium,0,1,1
730,France,Male,39,1,116537.6,1,0,0,145679.6,0,0.7999527733960459,0.5,0.0,2.072585244344917,0.03,36-45,Premium,1,0,1
631,France,Female,22,3,0.0,2,0,0,30781.77,0,0.0,0.5,0.0,0.6235534980078472,0.19,18-25,Low,0,0,0
830,Spain,Male,40,4,0.0,2,0,1,81622.52,0,0.0,0.4,0.7,1.3587216842829242,0.49999999999999994,36-45,Medium,0,1,1
645,France,Male,29,1,130131.08,2,0,1,196474.35,0,0.6623277678344891,1.0,0.7,2.2011889779795992,0.4099999999999999,26-35,Premium,0,0,1
663,France,Male,46,3,0.0,2,0,1,176276.1,0,0.0,0.5,0.7,1.4415681443305224,0.47,46-55,High,0,0,1
678,Spain,Male,30,0,0.0,1,1,0,35113.08,0,0.0,1.0,0.3,0.7580666559302129,0.12,26-35,Low,0,1,1
521,France,Male,30,2,107316.09,1,1,0,64299.82,0,1.668969229319315,0.3333333333333333,0.3,1.108275864123237,0.18,26-35,Medium,1,0,1
625,France,Female,24,1,0.0,2,1,1,180969.55,0,0.0,1.0,1.0,1.3745775364630017,0.53,18-25,Medium,0,0,0
523,France,Male,30,1,83181.29,1,1,1,138176.78,0,0.6019874541333635,0.5,1.0,1.359768631894386,0.43000000000000005,26-35,Medium,0,0,1
714,France,Female,72,3,0.0,1,1,1,86733.61,0,0.0,0.25,1.0,1.1072565579350413,0.49000000000000005,56+,Medium,0,0,0
580,Spain,Male,67,3,153946.14,1,1,1,7418.92,0,20.74768191570799,0.25,1.0,1.2102934537854027,0.49000000000000005,56+,Medium,0,1,1
722,France,Male,30,5,0.0,2,1,0,166376.54,0,0.0,0.3333333333333333,0.3,1.53226691595406,0.37,26-35,High,0,0,1
630,Spain,Female,39,7,135483.17,1,1,0,140881.2,1,0.9616769897119721,0.125,0.3,1.9107729097227615,0.33,36-45,Premium,1,1,0
579,France,Male,35,1,0.0,2,1,0,4460.2,0,0.0,1.0,0.3,0.3650131517056733,0.24999999999999997,26-35,Low,0,0,1
670,France,Female,38,4,119624.54,2,1,1,110472.12,0,1.082838431647445,0.4,1.0,1.7662216003761888,0.62,36-45,High,0,0,0
588,Spain,Male,34,6,121132.26,2,1,0,86460.28,0,1.4010000777226521,0.2857142857142857,0.3,1.4557890458959515,0.4,26-35,High,1,1,1
807,Spain,Female,42,1,0.0,1,1,0,16500.66,1,0.0,0.5,0.3,0.9718275791921376,0.15,36-45,Low,0,1,0
